Sno,Entity,Code,Year,Fertilizer Usage (kg/ha),Irrigated Land (%),Total Crop Yield (tons),Greenhouse Area (ha)
492,Kenya,KEN,2002,8.57,19.36,72971,1.47
493,Germany,GER,1987,3.63,30.01,20065,0.28
494,Peru,PER,1987,6.64,25.68,18755,0.6
495,Egypt,EGY,2005,23.46,34.73,113971,1.86
496,Canada,CAN,1992,3.43,2.77,32993,0.5
497,Mexico,MEX,2018,16.05,14.23,49452,2.89
498,Mexico,MEX,2016,8.44,40.96,172315,3.41
499,Turkey,TUR,2007,15.09,3.99,126417,0.5
500,Qatar,QAT,2004,12.35,42.77,89705,0.9
501,Nigeria,NGR,1995,13.66,4.59,43073,0.78
502,Japan,JPN,1981,0.94,41.72,1371,0.05
503,Kenya,KEN,1997,7.57,18.04,70770,1.0
504,Nigeria,NGR,1996,8.68,30.61,20830,0.59
505,Spain,ESP,2009,26.29,7.64,36957,2.03
506,France,FRA,2018,31.39,3.31,119682,2.59
507,Germany,GER,1992,1.24,10.8,19686,0.74
508,Peru,PER,2011,12.03,6.39,31958,0.63
509,Oman,OMN,2008,13.43,15.62,75388,1.48
510,India,IND,2009,8.9,25.72,44917,1.22
511,Kenya,KEN,1997,4.75,29.44,27915,0.92
512,Japan,JPN,1992,1.61,39.49,15691,1.12
513,Turkey,TUR,2000,13.58,32.81,36407,1.06
514,Brazil,BRA,2009,9.75,30.44,111996,0.33
515,Egypt,EGY,2000,2.94,20.59,84714,0.99
516,Egypt,EGY,1996,4.93,23.69,44962,1.34
517,France,FRA,2019,32.05,20.73,118022,3.13
518,United Kingdom,UK,1998,15.59,42.11,20351,1.01
519,India,IND,1994,7.49,11.5,17881,0.45
520,Russia,RUS,1988,3.8,0.29,16242,0.41
521,Oman,OMN,1989,8.82,32.57,28580,0.55
522,Argentina,ARG,2010,8.42,10.12,118746,3.0
523,United States,USA,2002,6.46,44.51,75240,1.5
524,Spain,ESP,2009,10.52,42.95,74486,2.1
525,Germany,GER,2012,8.18,3.84,47145,1.74
526,Oman,OMN,1988,3.53,5.32,32984,0.34
527,Denmark,DNK,1980,0.0,24.76,0,0.0
528,Denmark,DNK,2014,22.23,30.46,134103,1.85
529,France,FRA,1990,4.71,13.75,30519,1.0
530,United Kingdom,UK,2013,31.05,35.84,130503,1.69
531,Nigeria,NGR,1995,2.15,29.75,69437,0.24
532,Germany,GER,1988,2.31,16.24,37472,0.57
533,Kenya,KEN,2011,18.89,1.27,97353,0.44
534,United Kingdom,UK,1994,9.16,37.51,42644,0.46
535,Germany,GER,1991,1.49,10.74,22689,0.46
536,Canada,CAN,2012,14.81,41.72,151782,2.45
537,Oman,OMN,1993,8.9,21.01,36811,0.71
538,Oman,OMN,1987,5.1,28.85,10572,0.09
539,Turkey,TUR,1987,4.72,43.65,19115,0.46
540,United States,USA,2006,10.1,43.18,39213,1.22
541,India,IND,1991,2.03,18.58,33111,1.02
542,Japan,JPN,1980,0.0,10.44,0,0.0
543,Germany,GER,2019,8.42,38.76,91689,2.88
544,Argentina,ARG,1990,9.53,21.65,12866,0.3
545,Canada,CAN,2018,20.05,9.6,181412,2.98
546,Oman,OMN,2010,11.57,45.22,122802,2.25
547,Spain,ESP,1996,12.63,9.91,69688,1.46
548,Argentina,ARG,2012,17.54,1.29,78959,0.42
549,France,FRA,2011,11.75,1.01,125343,1.56
550,France,FRA,2008,23.26,31.12,82361,1.99
551,Nigeria,NGR,2000,17.61,33.08,36086,0.37
552,Oman,OMN,2000,14.11,15.55,29953,0.94
553,Oman,OMN,2019,5.55,16.0,92827,3.7
554,Qatar,QAT,2002,13.41,16.97,34104,1.08
555,Russia,RUS,1985,3.93,34.01,24965,0.49
556,Mexico,MEX,2001,4.68,2.91,25131,0.32
557,Egypt,EGY,2017,11.31,46.46,102289,2.76
558,Denmark,DNK,2016,32.19,11.13,101101,2.24
559,Canada,CAN,1987,0.83,49.98,15417,0.39
560,United Kingdom,UK,2020,31.1,8.58,131416,3.9
561,United States,USA,2014,17.9,38.58,54396,0.74
562,Turkey,TUR,1990,5.02,11.17,41356,0.91
563,Qatar,QAT,2003,2.45,4.04,53585,1.66
564,Japan,JPN,2000,16.75,43.75,67307,0.67
565,Spain,ESP,1981,0.42,42.94,3862,0.09
566,Peru,PER,2019,22.88,20.18,177690,1.9
567,Qatar,QAT,1998,12.77,35.12,78176,1.5
568,Argentina,ARG,2018,27.83,27.85,130462,1.71
569,Canada,CAN,2007,25.93,42.65,68946,2.34
570,Russia,RUS,1996,9.25,15.75,48205,1.08
571,Mexico,MEX,1985,2.3,26.18,20374,0.11
572,Nigeria,NGR,1998,17.25,24.27,81183,1.23
573,Kenya,KEN,2017,25.08,17.7,52359,1.01
574,Russia,RUS,2007,9.95,44.57,68564,1.27
575,India,IND,1981,0.21,8.29,4104,0.03
576,France,FRA,2017,31.76,7.48,100884,0.44
577,Nigeria,NGR,2016,15.33,28.85,83840,1.05
578,India,IND,1983,2.08,32.87,7935,0.17
579,Denmark,DNK,2001,11.0,9.73,71638,1.12
580,India,IND,2005,6.98,19.54,124980,1.38
581,Turkey,TUR,2015,22.45,47.33,104018,1.13
582,Egypt,EGY,1992,1.86,12.33,22007,0.86
583,Japan,JPN,2011,14.63,33.42,51192,2.27
584,Denmark,DNK,1996,9.47,37.01,18710,0.68
585,Spain,ESP,2020,19.7,22.41,129410,3.57
586,Japan,JPN,2015,27.08,46.88,111240,2.38
587,Argentina,ARG,1998,15.21,36.83,32776,1.34
588,United States,USA,2014,27.0,22.9,128564,1.19
589,Oman,OMN,2019,5.26,28.47,154612,0.39
590,Russia,RUS,2007,7.42,34.63,54982,2.37
591,Oman,OMN,1980,0.0,29.61,0,0.0
592,Peru,PER,1997,16.0,43.93,84352,0.36
593,Canada,CAN,2019,33.21,17.84,97385,1.7
594,France,FRA,2012,27.46,14.99,129382,2.22
595,Turkey,TUR,1991,4.1,10.69,30919,0.76
596,United Kingdom,UK,1987,3.41,1.89,29213,0.61
597,Egypt,EGY,2003,12.04,2.15,93750,0.52
598,Qatar,QAT,1995,3.62,43.5,55065,0.73
599,Brazil,BRA,1983,0.38,33.92,13257,0.06
600,Kenya,KEN,2017,35.23,33.03,176004,1.67
601,Turkey,TUR,2006,8.23,30.73,86318,0.3
602,Oman,OMN,1988,2.53,42.46,15599,0.73
603,Egypt,EGY,1995,2.63,24.01,38917,0.86
604,Argentina,ARG,1991,10.29,43.52,44365,0.95
605,Argentina,ARG,2010,18.65,17.97,108106,0.46
606,Turkey,TUR,2003,16.11,46.34,39357,0.7
607,Qatar,QAT,1993,11.97,34.93,15664,0.43
608,Spain,ESP,2004,9.87,12.86,89564,1.08
609,Mexico,MEX,2013,21.76,28.2,66142,2.71
610,Spain,ESP,1982,0.27,26.65,5997,0.09
611,Oman,OMN,2003,6.17,6.89,91700,0.65
612,Argentina,ARG,1988,6.78,29.56,26005,0.13
613,Brazil,BRA,2005,19.75,15.74,33330,0.43
614,Japan,JPN,1999,7.9,2.62,33104,1.49
615,Canada,CAN,2019,17.13,47.43,73215,1.95
616,Argentina,ARG,1989,5.22,32.07,18283,0.68
617,Russia,RUS,1998,1.8,43.85,58709,1.29
618,France,FRA,1982,0.63,33.8,6031,0.04
619,Spain,ESP,2003,6.61,17.85,41690,0.53
620,Egypt,EGY,1984,1.3,25.63,5080,0.31
621,Egypt,EGY,1982,1.65,33.79,3371,0.15
622,France,FRA,2006,9.14,48.01,128375,1.14
623,Canada,CAN,1995,4.09,12.68,43112,0.25
624,Egypt,EGY,1994,7.75,43.75,62571,0.16
625,Egypt,EGY,2014,29.89,46.2,149430,1.22
626,Kenya,KEN,1991,3.49,33.52,33506,0.12
627,Kenya,KEN,2020,6.83,46.56,153070,1.23
628,United Kingdom,UK,2005,10.52,19.89,44275,1.19
629,Spain,ESP,2013,25.51,47.65,123868,0.69
630,Peru,PER,2002,13.1,35.14,45969,0.43
631,Japan,JPN,2010,25.05,2.1,129847,2.72
632,Peru,PER,1999,18.31,45.34,25363,1.19
633,Argentina,ARG,1991,8.95,24.22,45018,1.04
634,United Kingdom,UK,2002,14.16,23.02,30794,0.9
635,Oman,OMN,1983,1.63,28.32,13574,0.21
636,Oman,OMN,2002,2.99,7.47,48769,0.63
637,Denmark,DNK,1980,0.0,23.46,0,0.0
638,Argentina,ARG,2004,10.68,41.56,70800,0.52
639,Spain,ESP,1981,0.24,0.77,2465,0.01
640,India,IND,2009,20.3,13.65,103871,2.72
641,Brazil,BRA,1982,0.71,0.12,9580,0.12
642,India,IND,2000,12.54,20.79,23301,1.87
643,Germany,GER,2004,15.07,36.42,112209,0.96
644,Brazil,BRA,1999,9.52,39.94,65290,0.75
645,Canada,CAN,2001,17.9,47.26,88814,0.97
646,Turkey,TUR,2000,6.77,30.43,50709,1.47
647,Nigeria,NGR,2012,16.12,12.73,92395,1.95
648,Argentina,ARG,2017,21.61,46.21,165589,3.45
649,Nigeria,NGR,1994,9.76,38.77,37231,0.17
650,Egypt,EGY,1994,11.28,28.72,43940,1.03
651,Spain,ESP,2004,10.93,34.78,25938,0.95
652,Russia,RUS,2000,13.63,46.22,32687,0.52
653,Qatar,QAT,2003,5.42,35.62,82035,1.29
654,Qatar,QAT,1984,3.76,18.42,15471,0.22
655,Egypt,EGY,1985,2.22,35.65,16652,0.11
656,Peru,PER,2002,16.64,2.01,34611,0.62
657,Brazil,BRA,1983,0.35,19.32,8344,0.14
658,Mexico,MEX,2006,7.4,20.32,62929,1.22
659,United Kingdom,UK,1997,9.15,8.34,50704,0.66
660,Germany,GER,2000,17.81,1.15,89626,0.47
661,France,FRA,2007,15.51,6.67,110793,0.28
662,Brazil,BRA,2014,31.85,32.73,45422,3.31
663,France,FRA,2001,11.24,40.11,95785,1.99
664,Turkey,TUR,2019,21.11,49.41,112595,2.09
665,Brazil,BRA,2002,4.57,17.32,87459,2.19
666,Turkey,TUR,1982,1.64,29.97,3120,0.14
667,Qatar,QAT,2019,12.57,46.86,143632,0.63
668,United Kingdom,UK,1989,8.19,8.35,17507,0.19
669,Brazil,BRA,2004,22.07,35.88,66084,2.22
670,United States,USA,1987,6.64,37.75,7472,0.47
671,France,FRA,1990,5.68,4.45,16064,0.86
672,Argentina,ARG,1984,2.84,43.06,5473,0.36
673,Qatar,QAT,2016,28.82,40.66,70523,1.81
674,Kenya,KEN,2017,8.06,1.67,51802,0.53
675,United Kingdom,UK,2008,17.94,4.55,105493,0.75
676,Spain,ESP,1984,0.52,2.46,4464,0.06
677,Egypt,EGY,1988,4.38,16.74,27767,0.22
678,Denmark,DNK,1981,0.24,25.46,1562,0.05
679,Kenya,KEN,1980,0.0,26.62,0,0.0
680,Spain,ESP,2019,16.71,13.38,184562,0.98
681,Kenya,KEN,2009,14.19,45.58,55158,1.45
682,Spain,ESP,1990,6.61,18.41,34576,0.41
683,United States,USA,2007,4.51,2.28,30024,1.41
684,Egypt,EGY,1991,6.09,15.01,51998,0.53
685,Brazil,BRA,2018,10.05,26.56,117494,2.58
686,France,FRA,2005,15.41,20.41,29322,2.36
687,Brazil,BRA,1992,8.08,13.69,28439,0.24
688,Oman,OMN,1987,4.21,6.57,9151,0.13
689,Mexico,MEX,2007,20.64,40.96,69437,2.34
690,Mexico,MEX,2009,11.66,49.81,106711,1.61
691,Russia,RUS,1988,6.31,16.48,23036,0.63
692,Mexico,MEX,2018,18.6,19.08,96325,1.12
693,United Kingdom,UK,2010,16.07,30.9,44298,2.54
694,Qatar,QAT,2000,13.67,35.92,39595,1.86
695,Russia,RUS,2013,3.85,19.6,46218,2.22
696,Mexico,MEX,2010,20.66,45.25,126899,0.59
697,Russia,RUS,2004,15.76,28.0,36983,2.17
698,India,IND,1991,4.17,22.52,37196,0.89
699,Denmark,DNK,1980,0.0,32.33,0,0.0
700,India,IND,2001,3.82,47.64,39982,0.28
701,Denmark,DNK,2019,36.31,39.73,138757,3.19
702,Canada,CAN,2016,25.93,2.0,101808,0.81
703,Canada,CAN,1980,0.0,16.62,0,0.0
704,Turkey,TUR,1980,0.0,23.53,0,0.0
705,United Kingdom,UK,2000,12.66,15.73,59301,0.68
706,United Kingdom,UK,1994,11.93,35.01,30995,0.97
707,Egypt,EGY,1996,2.23,41.31,51779,1.04
708,Turkey,TUR,2001,6.57,36.57,77237,0.41
709,Kenya,KEN,2017,33.33,49.47,40950,2.55
710,France,FRA,2014,3.68,13.63,97358,3.17
711,Argentina,ARG,1995,4.22,43.75,18460,0.37
712,Egypt,EGY,1987,6.74,38.33,12219,0.45
713,Japan,JPN,1996,10.43,18.11,51872,0.65
714,Nigeria,NGR,1996,5.37,36.71,71436,0.82
715,Peru,PER,2005,4.01,5.2,113280,0.9
716,Brazil,BRA,1992,1.5,39.47,15357,0.5
717,Spain,ESP,1996,5.12,26.62,42822,0.2
718,Peru,PER,2017,33.05,14.61,123284,3.64
719,Oman,OMN,1996,7.59,32.79,25412,1.06
720,Japan,JPN,1993,9.73,32.08,52802,0.72
721,Qatar,QAT,1985,4.63,10.47,19884,0.22
722,Qatar,QAT,2014,15.89,1.52,156854,1.99
723,Mexico,MEX,1993,3.54,21.68,13441,0.57
724,Russia,RUS,1987,3.96,28.48,13067,0.3
725,Spain,ESP,1994,12.84,43.83,60322,0.72
726,Denmark,DNK,2006,21.42,46.41,95740,0.91
727,Argentina,ARG,1992,1.91,26.44,54930,0.31
728,India,IND,2010,21.7,37.69,36861,1.8
729,Spain,ESP,2014,20.9,21.97,115187,2.92
730,Canada,CAN,1985,4.58,37.3,16380,0.12
731,United States,USA,1984,0.84,10.24,4570,0.05
732,Qatar,QAT,2001,12.19,18.55,64135,0.68
733,Qatar,QAT,2002,19.61,31.71,75637,2.16
734,Peru,PER,2004,11.26,0.91,42364,2.03
735,Peru,PER,2013,17.62,36.12,69079,2.1
736,Brazil,BRA,2005,4.09,41.78,89034,2.34
737,Oman,OMN,1984,1.4,19.96,11492,0.2
738,Peru,PER,2005,9.8,22.4,110801,2.46
739,United Kingdom,UK,1999,18.06,42.56,45021,0.7
740,Germany,GER,1985,1.77,38.78,10333,0.16
741,Canada,CAN,1985,2.57,14.41,24697,0.34
742,Qatar,QAT,1997,11.97,16.2,78957,0.75
743,Peru,PER,1983,0.74,33.94,3347,0.2
744,Mexico,MEX,1996,8.6,28.16,65326,0.6
745,Qatar,QAT,1993,9.94,8.11,18737,0.85
746,Oman,OMN,1993,11.44,15.5,14429,0.45
747,Turkey,TUR,1992,7.96,45.0,25137,0.18
748,France,FRA,1986,4.21,34.41,12464,0.55
749,Canada,CAN,1994,2.99,49.3,59881,1.25
750,United Kingdom,UK,1998,17.12,38.35,69168,1.75
751,Qatar,QAT,2014,7.46,47.1,167498,2.53
752,Egypt,EGY,1996,12.76,10.81,61536,1.14
753,Kenya,KEN,2014,11.5,38.57,90882,2.05
754,Germany,GER,1998,16.92,1.01,68322,0.38
755,Spain,ESP,1999,14.21,33.54,94958,0.51
756,Germany,GER,2015,27.25,23.46,134419,1.26
757,Nigeria,NGR,2014,10.1,17.34,137588,3.06
758,Spain,ESP,2011,15.46,43.12,147357,0.79
759,Oman,OMN,2019,25.59,42.71,56729,3.63
760,United States,USA,2003,18.24,1.12,87840,1.31
761,Denmark,DNK,1996,3.1,30.48,70451,1.19
762,Kenya,KEN,1986,5.8,18.39,28905,0.12
763,Canada,CAN,1980,0.0,20.78,0,0.0
764,Japan,JPN,2014,11.67,41.6,102534,3.27
765,Oman,OMN,2011,26.06,15.49,115388,1.05
766,Turkey,TUR,2015,19.83,47.15,69645,1.28
767,Qatar,QAT,1992,6.19,8.98,40822,0.33
768,Denmark,DNK,1985,1.91,33.14,10151,0.11
769,Qatar,QAT,1993,8.1,33.61,30339,0.4
770,Brazil,BRA,2016,27.25,12.61,99578,2.44
771,Qatar,QAT,1994,6.58,16.24,43634,0.71
772,India,IND,1983,2.0,41.74,8392,0.18
773,India,IND,2019,28.45,38.09,115938,0.82
774,Spain,ESP,1995,11.1,16.45,32915,1.23
775,Nigeria,NGR,2007,3.96,26.7,44168,2.18
776,United Kingdom,UK,1995,13.11,3.08,17840,0.18
777,Kenya,KEN,1983,1.54,10.44,5351,0.13
778,Japan,JPN,2005,8.4,24.29,83194,0.4
779,Egypt,EGY,2007,8.57,4.3,111900,2.19
780,France,FRA,2011,16.58,42.17,51986,2.37
781,United States,USA,1981,0.9,35.9,1434,0.09
782,Brazil,BRA,2010,13.22,47.18,119914,0.94
783,Oman,OMN,1982,1.55,34.67,4441,0.1
784,France,FRA,1987,1.31,47.02,33641,0.19
785,Egypt,EGY,2003,12.15,27.73,88717,1.0
786,Argentina,ARG,1994,13.9,30.01,32298,0.8
787,France,FRA,2010,23.8,48.85,64745,0.44
788,France,FRA,1988,2.32,32.11,24758,0.59
789,Russia,RUS,2018,20.95,1.54,50029,2.24
790,Denmark,DNK,1981,0.31,36.19,1470,0.08
791,Mexico,MEX,1987,3.28,45.27,11924,0.24
792,Japan,JPN,1986,4.81,39.78,24593,0.55
793,Canada,CAN,2018,30.18,29.19,116106,3.8
794,United Kingdom,UK,1995,4.58,33.57,15634,1.39
795,India,IND,2014,31.62,49.51,125598,2.72
796,Egypt,EGY,2009,18.37,4.53,78148,2.41
797,Denmark,DNK,1989,3.98,33.36,27390,0.55
798,France,FRA,2017,20.41,14.17,68689,1.0
799,Brazil,BRA,1997,10.96,32.0,54521,1.21
800,United States,USA,1984,2.42,30.38,19666,0.3
801,Mexico,MEX,2008,15.06,7.67,36225,2.76
802,Denmark,DNK,2018,21.07,10.34,81155,2.23
803,Qatar,QAT,2013,8.54,31.08,65075,1.14
804,France,FRA,2002,18.29,6.41,43872,1.57
805,Spain,ESP,1984,2.35,13.26,10059,0.39
806,France,FRA,2009,6.32,41.76,123900,0.75
807,United Kingdom,UK,1985,3.95,16.35,23257,0.2
808,Brazil,BRA,1983,2.82,24.4,5426,0.18
809,Qatar,QAT,2008,26.67,47.06,88810,0.71
810,Mexico,MEX,2002,9.51,11.36,78047,0.26
811,India,IND,1985,1.11,19.48,15436,0.2
812,United Kingdom,UK,2011,17.56,30.32,84825,2.72
813,Oman,OMN,1997,3.42,37.77,30054,0.24
814,Nigeria,NGR,1994,13.17,45.08,41340,0.68
815,Egypt,EGY,2019,10.34,45.77,101589,3.07
816,France,FRA,2011,10.15,38.83,129649,2.97
817,Denmark,DNK,1988,3.73,11.42,32435,0.79
818,United Kingdom,UK,2016,16.01,1.24,55295,1.73
819,United States,USA,1989,7.34,19.19,12186,0.86
820,Argentina,ARG,1999,9.7,7.08,88019,0.25
821,United States,USA,1985,1.27,35.52,15710,0.39
822,Spain,ESP,1982,0.68,33.06,8862,0.14
823,Nigeria,NGR,1990,5.58,2.2,12326,0.32
824,Qatar,QAT,1996,3.72,41.83,49696,0.89
825,Argentina,ARG,2011,20.17,12.44,97888,0.67
826,Peru,PER,1983,1.83,21.61,13328,0.27
827,France,FRA,1983,2.23,33.4,4171,0.13
828,Egypt,EGY,1996,15.1,21.47,31388,1.06
829,Mexico,MEX,2020,36.84,22.06,105046,0.97
830,Denmark,DNK,1998,17.13,3.28,80340,0.51
831,Oman,OMN,1984,1.28,20.07,19022,0.4
832,Mexico,MEX,2011,6.77,38.24,154097,2.41
833,Canada,CAN,2001,7.81,45.76,101572,2.03
834,Argentina,ARG,1985,4.53,20.67,5118,0.18
835,France,FRA,2014,33.14,21.18,40488,0.84
836,Turkey,TUR,2001,18.34,35.13,33398,1.16
837,Kenya,KEN,1980,0.0,47.14,0,0.0
838,Egypt,EGY,1999,18.1,13.35,82073,0.49
839,Kenya,KEN,2001,10.1,22.01,95983,1.6
840,Nigeria,NGR,1990,1.08,39.8,17473,0.43
841,Brazil,BRA,1992,5.98,30.48,41743,0.32
842,Oman,OMN,1982,0.28,5.53,9338,0.08
843,India,IND,1988,4.72,31.39,22839,0.49
844,Brazil,BRA,1991,4.45,9.34,15555,0.83
845,United States,USA,2002,11.57,25.51,62287,1.17
846,Argentina,ARG,1993,8.47,26.46,32541,0.74
847,Egypt,EGY,2012,28.22,43.81,105940,0.72
848,Japan,JPN,1997,11.83,23.12,46828,1.57
849,Spain,ESP,2020,19.63,13.97,42775,3.74
850,Japan,JPN,1988,6.7,11.55,39807,0.57
851,Mexico,MEX,2002,20.13,43.71,69831,0.25
852,Qatar,QAT,1989,1.87,8.55,26050,0.53
853,France,FRA,1998,10.42,21.29,86732,1.2
854,Canada,CAN,1984,1.42,9.36,6493,0.4
855,Spain,ESP,2002,3.13,38.67,38652,2.19
856,Egypt,EGY,2009,20.35,23.72,122729,2.53
857,Nigeria,NGR,2004,21.04,17.56,49039,0.38
858,Turkey,TUR,2007,6.66,18.05,113316,2.59
859,Peru,PER,2013,27.43,42.61,68842,2.15
860,Mexico,MEX,2004,20.83,27.69,27186,1.97
861,Japan,JPN,1989,8.31,35.89,27612,0.42
862,Brazil,BRA,1993,4.4,44.85,23227,0.5
863,Nigeria,NGR,2009,26.49,45.09,116910,1.5
864,Canada,CAN,2020,15.54,16.43,142591,0.93
865,Canada,CAN,2004,14.33,47.62,112665,1.01
866,Argentina,ARG,1993,1.89,1.24,53715,1.13
867,India,IND,2014,4.74,18.84,58585,0.46
868,India,IND,2013,24.7,44.79,138620,0.78
869,Mexico,MEX,1989,4.5,13.73,32102,0.19
870,Japan,JPN,2014,11.24,13.65,124977,1.57
871,Egypt,EGY,1990,2.71,15.13,43290,1.0
872,Peru,PER,1990,7.03,30.62,32952,0.26
873,Canada,CAN,2000,2.01,21.92,57280,0.46
874,Egypt,EGY,2000,16.51,36.34,70931,1.85
875,Egypt,EGY,2001,3.6,44.75,46028,1.88
876,United Kingdom,UK,1986,1.63,33.71,10382,0.08
877,Peru,PER,1996,7.16,10.22,55461,1.24
878,Denmark,DNK,1981,0.54,46.63,1935,0.07
879,Oman,OMN,1991,4.61,13.22,14516,0.87
880,Kenya,KEN,1997,6.61,7.49,17037,0.93
881,Turkey,TUR,1990,9.68,4.5,34332,0.99
882,India,IND,1995,10.16,28.17,36728,0.21
883,India,IND,1997,2.06,5.69,68157,0.53
884,Germany,GER,2014,16.56,6.94,85023,1.55
885,India,IND,2005,22.19,15.0,73600,1.26
886,Peru,PER,1995,5.57,14.08,39425,1.39
887,United Kingdom,UK,1985,0.93,30.21,18011,0.3
888,France,FRA,1991,8.61,40.84,26670,0.15
889,Argentina,ARG,1992,7.74,38.07,58260,0.56
890,Qatar,QAT,1983,1.84,13.12,14233,0.14
891,Argentina,ARG,2018,5.63,12.27,166900,3.68
892,Spain,ESP,1981,0.23,48.29,4681,0.06
893,Argentina,ARG,2005,16.51,0.41,69913,1.68
894,Qatar,QAT,2006,7.46,43.99,81788,1.93
895,Brazil,BRA,2006,14.4,9.99,103177,2.06
896,Peru,PER,1994,8.27,47.36,52984,0.94
897,India,IND,1987,2.49,17.12,31939,0.22
898,India,IND,1986,5.72,22.02,23191,0.53
899,United Kingdom,UK,2019,33.47,35.36,194670,2.96
900,Germany,GER,1991,8.25,29.38,26334,0.84
901,United Kingdom,UK,1992,2.04,15.9,51983,1.2
902,France,FRA,1996,3.13,27.69,60648,1.32
903,France,FRA,1996,8.7,36.54,60248,1.35
904,Canada,CAN,2015,8.56,2.12,80616,3.35
905,Germany,GER,2000,19.61,0.56,82848,0.47
906,United Kingdom,UK,1987,1.7,22.9,32210,0.38
907,India,IND,1984,2.15,6.59,7496,0.25
908,Kenya,KEN,2005,10.69,33.22,87549,0.99
909,United States,USA,1995,10.13,10.7,38528,1.28
910,Qatar,QAT,2015,7.56,21.64,173536,2.75
911,Qatar,QAT,2007,13.16,9.88,78713,2.02
912,Argentina,ARG,2008,9.72,27.42,53571,2.79
913,United States,USA,1991,9.89,5.8,27801,0.37
914,Germany,GER,2016,4.91,1.16,130152,2.74
915,Denmark,DNK,2009,26.75,2.56,37826,1.73
916,France,FRA,2002,18.69,47.71,75116,0.84
917,Argentina,ARG,1995,5.52,7.11,70873,0.37
918,Egypt,EGY,1993,10.53,35.42,57218,1.18
919,Argentina,ARG,1989,1.15,3.4,11436,0.57
920,Denmark,DNK,1986,5.82,5.41,29841,0.51
921,Brazil,BRA,2016,20.66,25.44,136616,2.13
922,Kenya,KEN,2008,10.44,23.24,46175,0.83
923,Egypt,EGY,1982,0.85,47.58,2099,0.08
924,Kenya,KEN,1994,2.24,47.24,23591,0.62
925,Argentina,ARG,2015,34.66,38.98,152344,3.41
926,France,FRA,1998,2.44,30.11,19558,0.19
927,Oman,OMN,1992,8.27,22.75,23191,1.18
928,Qatar,QAT,2000,9.97,17.81,80584,1.96
929,Denmark,DNK,2016,34.34,47.35,120399,3.59
930,Oman,OMN,2006,8.36,30.15,107404,1.38
931,United States,USA,2008,16.21,28.95,111568,2.71
932,Qatar,QAT,1999,10.15,11.6,22845,0.87
933,India,IND,2004,17.58,2.33,109681,0.3
934,Egypt,EGY,1985,0.81,47.26,9540,0.15
935,Qatar,QAT,2015,9.6,15.69,112474,3.33
936,Denmark,DNK,1981,0.29,22.13,3577,0.01
937,Nigeria,NGR,2001,16.05,5.73,35164,1.24
938,Oman,OMN,2011,8.38,41.85,152052,0.52
939,Brazil,BRA,1995,9.24,1.38,44289,0.54
940,United Kingdom,UK,1997,4.99,41.7,20919,0.3
941,United Kingdom,UK,1984,3.5,7.01,18996,0.35
942,Denmark,DNK,2015,33.18,44.33,117077,2.21
943,Denmark,DNK,2009,16.43,36.49,110106,2.64
944,Mexico,MEX,1998,7.51,8.23,55812,1.3
945,Egypt,EGY,2002,6.83,28.29,95456,2.14
946,United States,USA,2013,4.78,15.63,37373,1.84
947,Mexico,MEX,1992,4.1,8.91,24882,0.81
948,Kenya,KEN,2008,19.29,42.96,80600,1.73
949,India,IND,2015,20.31,20.18,45724,1.88
950,France,FRA,2001,19.94,19.93,80296,1.81
951,France,FRA,2015,15.98,8.49,90112,2.38
952,India,IND,1988,5.8,19.15,16725,0.66
953,Qatar,QAT,2018,20.53,43.58,38513,3.07
954,Peru,PER,1998,10.1,18.16,69827,0.49
955,Mexico,MEX,2017,12.62,47.58,160403,2.54
956,Nigeria,NGR,1985,2.55,47.32,12900,0.14
957,Oman,OMN,1994,7.33,7.24,45596,0.87
958,India,IND,1999,13.98,8.87,36304,1.35
959,Turkey,TUR,1988,7.57,43.13,27910,0.8
960,Argentina,ARG,2011,12.29,19.64,32505,0.4
961,Qatar,QAT,1983,0.41,0.22,8863,0.05
962,India,IND,1997,9.29,13.69,60805,0.29
963,Mexico,MEX,1984,2.36,29.88,18691,0.18
964,Nigeria,NGR,1999,4.78,39.96,47981,1.59
965,Nigeria,NGR,2002,17.26,6.67,89336,1.89
966,Denmark,DNK,1990,9.86,5.53,33907,0.76
967,Russia,RUS,2016,34.24,46.1,169489,3.27
968,Denmark,DNK,2001,5.83,37.56,54463,0.82
969,Egypt,EGY,1983,2.66,29.49,6829,0.05
970,Egypt,EGY,2008,20.55,38.46,127359,0.43
971,India,IND,2013,16.78,21.44,39500,2.86
972,Kenya,KEN,1992,7.04,37.92,18546,0.91
973,Spain,ESP,1988,6.92,18.59,10636,0.58
974,Japan,JPN,2010,15.96,12.2,131173,1.22
975,United Kingdom,UK,1986,2.62,36.45,6254,0.27
976,Peru,PER,1983,1.63,20.98,13339,0.29
977,India,IND,1998,11.18,49.07,50491,0.28
978,Japan,JPN,2009,7.83,17.47,29466,2.31
979,Mexico,MEX,2010,27.32,46.09,78197,1.14
980,Argentina,ARG,2014,24.03,46.65,59404,0.46
981,Peru,PER,2000,13.4,12.09,69952,1.54
982,Egypt,EGY,2010,5.69,39.91,111523,1.19
983,Peru,PER,1998,11.59,21.65,53101,1.35
984,Denmark,DNK,2010,6.27,45.88,34862,2.21
985,Argentina,ARG,2011,5.3,22.51,112359,1.8
986,United Kingdom,UK,1981,0.57,37.22,4368,0.08
